iter	Passed	Remaining
423	2129	2893
424	2134	2887
425	2139	2882
426	2147	2882
427	2152	2877
428	2157	2871
429	2162	2866
430	2167	2861
431	2172	2855
432	2176	2850
433	2181	2845
434	2186	2840
435	2191	2834
436	2196	2829
437	2202	2825
438	2210	2825
439	2215	2819
440	2220	2814
441	2225	2809
442	2229	2803
443	2234	2798
444	2239	2793
445	2244	2788
446	2251	2785
447	2257	2780
448	2261	2775
449	2266	2770
450	2271	2764
451	2276	2759
452	2280	2754
453	2285	2748
454	2290	2743
455	2295	2738
456	2300	2733
457	2304	2727
458	2311	2724
459	2315	2718
460	2320	2713
461	2325	2708
462	2330	2703
463	2335	2697
464	2344	2697
465	2349	2692
466	2354	2686
467	2359	2681
468	2363	2676
469	2368	2670
470	2373	2665
471	2377	2660
472	2382	2654
473	2387	2649
474	2391	2643
475	2396	2638
476	2401	2633
477	2406	2627
478	2410	2622
479	2415	2617
480	2420	2611
481	2425	2606
482	2430	2601
483	2434	2595
484	2440	2591
485	2447	2588
486	2452	2583
487	2457	2577
488	2461	2572
489	2466	2567
490	2470	2561
491	2475	2556
492	2480	2550
493	2485	2545
494	2490	2540
495	2494	2535
496	2499	2529
497	2504	2524
498	2510	2521
499	2515	2515
500	2521	2510
501	2525	2505
502	2530	2500
503	2535	2495
504	2540	2490
505	2545	2484
506	2550	2479
507	2554	2474
508	2559	2469
509	2564	2463
510	2569	2458
511	2573	2453
512	2579	2448
513	2583	2443
514	2588	2437
515	2593	2432
516	2598	2427
517	2604	2423
518	2609	2418
519	2614	2413
520	2619	2408
521	2624	2403
522	2629	2397
523	2633	2392
524	2640	2389
525	2645	2384
526	2652	2380
527	2657	2375
528	2662	2370
529	2667	2365
530	2672	2360
531	2676	2354
532	2681	2349
533	2686	2344
534	2690	2338
535	2695	2333
536	2700	2328
537	2705	2322
538	2709	2317
539	2714	2312
540	2719	2307
541	2724	2302
542	2728	2296
543	2734	2291
544	2740	2287
545	2745	2282
546	2750	2277
547	2754	2272
548	2759	2266
549	2764	2261
550	2768	2256
551	2773	2251
552	2778	2245
553	2783	2240
554	2787	2235
555	2792	2230
556	2797	2224
557	2801	2219
558	2806	2214
559	2811	2209
560	2816	2204
561	2821	2198
562	2826	2193
563	2830	2188
564	2838	2185
565	2842	2179
566	2847	2174
567	2852	2169
568	2857	2164
569	2862	2159
570	2866	2153
571	2871	2148
572	2876	2143
573	2881	2138
574	2885	2133
575	2890	2127
576	2895	2122
577	2900	2117
578	2905	2112
579	2910	2107
580	2915	2102
581	2919	2097
582	2924	2091
583	2931	2088
584	2939	2085
585	2946	2081
586	2951	2076
587	2956	2071
588	2961	2066
589	2967	2061
590	2972	2057
591	2977	2052
592	2983	2047
593	2987	2042
594	2992	2037
595	2997	2031
596	3002	2026
597	3007	2021
598	3012	2016
599	3016	2011
600	3021	2006
601	3026	2000
602	3034	1997
603	3039	1992
604	3044	1987
605	3048	1982
606	3053	1976
607	3058	1971
608	3063	1966
609	3067	1961
610	3072	1956
611	3077	1950
612	3081	1945
613	3086	1940
614	3091	1935
615	3096	1930
616	3101	1925
617	3106	1919
618	3110	1914
619	3115	1909
620	3120	1904
621	3125	1899
622	3131	1895
623	3136	1889
624	3141	1884
625	3146	1879
626	3150	1874
627	3155	1869
628	3160	1864
629	3165	1858
630	3169	1853
631	3174	1848
632	3179	1843
633	3184	1838
634	3189	1833
635	3194	1828
636	3199	1823
637	3203	1817
638	3208	1812
639	3213	1807
640	3218	1802
641	3222	1797
642	3228	1792
643	3237	1789
644	3241	1784
