PLD
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
42.35
90.36
177.56
178.7
178.37
177.56
177.79
175.14
173.77
173.53
173.39
173.74
176.16
178.4
180.73
181.52
181.89
181.97
182
182.29
182.52
182.53
182.31
181.98
181.03
180.97
182.02
182.3
182.26
181.78
178.62
177.64
176.6
176.12
176.11
176.59
177.54
178.54
180.62
181.86
182.82
182.86
182.74
183.21
183.65
183.71
183.56
182.59
181.34
181.13
182.19
182.87
182.8
181.49
181.23
180.58
180.29
180.22
180.22
180.34
180.52
180.88
181.71
182.5
183.02
183.18
182.79
184.67
185.41
185.44
184.66
182.39
180.94
180.7
181.26
181.65
181.65
180.97
176.29
176.2
175.95
175.55
175.14
175.06
174.81
175.11
175.97
176.03
176.02
176.01
175.95
175.91
175.89
175.89
175.89
175.88
175.95
176.03
177.26
177.34
176.31
175.69
171.37
170.84
170.43
169.74
169.61
169.49
166.32
163.87
169.04
170.08
170.58
170.57
170.54
170.52
170.49
170.52
170.64
172.25
173.27
173.52
177.26
177.54
177.54
176.26
179.77
179.72
179.54
179.33
179.02
179.59
179.6
180.04
184.58
186.03
186.97
187.18
186.94
188.79
189.94
189.89
189.49
186.6
184.11
183.91
185.6
185.83
185.64
184.59
181.47
180.62
179.8
179.26
178.98
179.56
180.1
180.93
185.75
188.39
189.16
189.22
189.1
189.23
189.18
189.13
189.09
188.43
184.86
184.57
187.52
188.11
187.73
185.29
179.02
176.74
176.14
176.09
176.01
176.1
176.15
177.39
183.22
184.22
184.35
184.3
184.26
185.66
188.28
187.85
185.37
184.02
183.47
183.15
183.83
183.81
183.76
183.44
180.78
179.49
179.21
179.06
179.02
179.04
179.03
179.57
182.31
183.8
185.04
184.95
184.87
186.04
187.55
187.56
186.09
184.53
182.76
181.08
183.46
183.88
183.88
182.91
181.55
180.56
179.53
178.04
177.49
177.92
178.04
180.13
182.82
184.87
185.68
185.84
185.8
186.77
187.14
187.09
186.95
185.05
181.51
180.93
181.63
182.68
182.7
182.46
231.71
231.4
230.7
230.08
229.5
229.28
228.91
229.04
230.85
230.96
231.14
231.08
231.02
230.96
230.9
230.85
230.79
230.73
230.67
230.62
232.1
232.1
231.38
230.46
231.96
231.01
230.33
229.77
229.07
228.84
228.01
226.97
227.84
228.94
229.82
230.13
230.14
230.17
230.2
230.23
230.35
230.51
230.74
231.53
234.09
236.44
236.4
233.68
232.7
231.26
230.2
230.16
230.13
230.74
231.26
233.26
238.19
241.22
241.5
241.44
241.38
243.05
246.39
246.75
243.94
241.09
238.84
237.5
240.58
240.8
240.74
239.49
238.31
236.53
235.16
234.89
234.95
235.05
235.22
236.99
241.88
242.76
246.35
246.76
245.57
250.21
251.1
250.9
249.63
242.72
240.61
239.6
241.11
241.17
240.99
240.87
239.15
235.72
234.39
234.25
233.74
234.03
234.21
236.29
242.75
246.36
246.99
247.44
246.18
252.9
255.49
255.4
253.41
246.06
242.68
240.9
244.65
245.54
245.48
243.92
236.63
235.1
233.89
233.74
233.42
233.56
233.81
235.2
241.65
245.11
246.21
246.78
245.17
252.52
254.23
254.1
252.33
244.52
238.5
237.76
241.91
243.92
243.87
239.43
236.59
234.4
233.09
231.99
231.6
232.22
232.81
234.13
239.56
243.96
244.69
244.62
244.56
246.24
249.52
249.59
245.65
243.56
237.86
236.49
238.75
239.7
239.69
237.21
264.72
264.47
264.16
263.98
263.94
263.92
263.2
263.13
263.98
264.04
263.99
263.98
263.98
263.98
263.98
263.98
263.98
263.98
263.98
263.98
265.33
265.52
264.79
264.1
265.97
265.04
264.87
263.91
263.35
262.41
261.24
259.44
260.64
261.85
263.05
263.92
263.97
264.02
264.08
264.22
264.49
264.98
264.98
265.09
268.69
270.21
270.19
267.86
264.98
264.98
264.98
264.98
264.98
264.98
264.98
264.98
271.38
271.38
271.65
271.65
271.65
271.65
271.65
271.65
271.65
271.65
271.38
271.38
271.38
271.38
271.38
271.38
268.46
267.81
266.9
266.8
266.58
266.87
267.12
267.83
273.52
278.14
282.94
283
281.83
283.75
288.69
288.21
284.71
280.94
273.43
271.82
274.55
276.75
277.35
274.51
270.85
269.04
268.53
268.45
268.4
268.36
268.32
272.28
280.62
284.06
286.61
286.62
284.57
293.69
303.8
302.44
294.51
283.56
277.09
274.06
280.78
283.11
283.03
280.7
273.26
268.67
267.77
267.73
267.68
267.64
267.64
268.5
281.52
283.25
292.53
292.72
286.6
300.99
312
313.3
300.53
283.36
276.56
274.54
279.66
282.12
282.05
278.69
269.7
267.89
265.88
264.99
264.96
264.97
265.76
267.58
271.39
277.18
284.07
284.04
282.6
283.9
283.9
283.76
283.68
274.72
267.86
267.69
270.43
272.26
275.34
274.61
498.83
496.67
496.35
496.2
496.03
496.01
495.88
495.93
496.32
496.39
496.47
496.5
496.49
496.49
496.5
496.52
496.49
496.45
496.49
496.49
496.63
496.51
496.38
496.16
494.46
493.05
492.82
491.89
491.15
491.07
490.73
489.77
490.68
490.76
490.71
491.06
491.16
491.22
491.41
492.59
492.79
493.35
494.03
494.03
496.91
497.87
497.95
496.54
499.05
497.22
495.76
495.72
495.72
495.93
497.91
499.61
503.74
510.53
518.45
520.01
518.78
528.8
528.68
528.55
528.41
516.88
504.44
503.24
507.02
511.26
511.42
506.98
501.16
496.2
491.79
490.58
490.02
490.2
492.06
498.55
511.72
524.22
530.21
530.07
529.94
537.44
549.5
547.78
534.06
524.15
504.86
499.69
511.83
517.14
517.63
512.58
499.18
495.37
491.6
490.74
490.46
490.51
491.6
496.44
507.79
525.11
527.27
527.13
527
538.35
546.98
546.85
541.18
526.17
506
499.73
510.26
520.88
524.28
512.42
494.01
490.42
489.79
488.95
488.49
488.59
489.67
491.42
502.2
518.38
519.67
520.51
518.4
552.55
597.46
588.16
556.3
517.18
496.51
492.59
502.52
509.64
514.58
505.31
503.4
498.7
495.28
493.23
492.71
493.31
495.96
498.48
509.54
522.82
527.34
527.21
527.08
539.08
551.76
547.82
532.72
521.27
503.04
499.58
506.32
512.33
512.89
521.46
516.82
515.08
514.01
513.81
513.58
513.38
513.36
512.58
513.71
513.94
514.02
514.09
514.11
514.1
514
514
513.94
513.49
513.65
513.55
513.88
513.99
513.32
512.99
527.59
521.43
509.88
505.63
504.41
504.33
500.08
488.74
500.28
504.02
503.94
504.09
504.69
507.29
509.23
518.22
521.37
521.53
522.93
526.21
531.65
532.32
532.19
531.31
507.36
502.55
501.1
500.9
500.9
501.33
505.38
508.56
514.36
517.08
518.17
518.31
517.73
523.49
529.35
529.33
527.14
517.55
514.81
514.08
515.85
516.3
516.22
515.56
508.52
505.34
503.69
503.6
503.6
503.59
504.63
507.85
513.31
518.92
521.99
521.21
520.37
523.9
526.28
526.2
524.39
517.63
511.3
510.11
514.61
515.85
514.73
511.65
507.39
506.1
505.93
505.12
504.82
505.97
506.53
507.71
514.61
517.67
520.75
520.7
518.82
521.76
523.91
523.95
520.82
516.98
512.47
511.82
514.99
515.96
515.68
512.98
506.93
504.36
504.07
503.8
503.65
504.59
506.88
507.97
514.62
519.03
520.22
520.37
519.6
521.37
522.19
522.2
521.91
518.27
512.45
510.65
517.02
518.77
518.5
513.96
501.54
499.68
498.25
497.77
497.5
499.98
504.97
509.7
515.57
518.57
522.14
523.67
520.57
524.88
530.09
529.07
528.08
520.75
513.06
511.19
516.36
516.68
516.02
517.23
515.17
512.55
511.16
511.08
511.07
511.08
511.2
511.21
511.71
513.94
